0.0036129778163162	1.0000000000000000	16161902	5699	25000342	0.521739 	 GenLen: 	 46 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.03592003 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 516 	 LastPfUpdateTime: 	 0.00 	LogFile:	_nsga2_400pop_zz_paint_06_02__013.txt	1011000111110100000011011110010011001111000101	9234	1568753667
0.0047714476572192	1.0000000000000000	3315867	607	25000342	0.543478 	 GenLen: 	 46 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.03592003 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 344 	 LastPfUpdateTime: 	 0.00 	LogFile:	_nsga2_400pop_zz_paint_06_02__014.txt	0011100110110011100100110111011000110101110001	9265	1568753672
0.0047714476572192	1.0000000000000000	2404	1	25000342	0.478261 	 GenLen: 	 46 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.03592003 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 349 	 LastPfUpdateTime: 	 0.00 	LogFile:	_nsga2_400pop_zz_paint_06_02__015.txt	1001000010110111010101011100110011010001010010	9272	1568753677
0.0036129778163162	1.0000000000000000	1397483	221	25000342	0.369565 	 GenLen: 	 46 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.03592003 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 328 	 LastPfUpdateTime: 	 0.00 	LogFile:	_nsga2_400pop_zz_paint_06_02__016.txt	0000000001110101000011001100001001010110001101	9294	1568753682
0.0036144142841653	1.0000000000000000	1201	0	25000342	0.500000 	 GenLen: 	 46 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.03592003 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 790 	 LastPfUpdateTime: 	 0.00 	LogFile:	_nsga2_400pop_zz_paint_06_02__017.txt	1000111001111011101010110011011010101000000010	9309	1568753687
0.0036129778163162	1.0000000000000000	3719273	828	25000342	0.456522 	 GenLen: 	 46 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.03592003 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 280 	 LastPfUpdateTime: 	 0.00 	LogFile:	_nsga2_400pop_zz_paint_06_02__018.txt	1101001011001011001010111100010010101000001010	9336	1568753692
0.0041844505816386	1.0000000000000000	1602	1	25000342	0.500000 	 GenLen: 	 46 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.03592003 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 357 	 LastPfUpdateTime: 	 0.00 	LogFile:	_nsga2_400pop_zz_paint_06_02__019.txt	1100001001001100101101010110011100010100111101	9328	1568753697
0.0036129778163162	1.0000000000000000	3991552	955	25000342	0.369565 	 GenLen: 	 46 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.03592003 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 478 	 LastPfUpdateTime: 	 0.00 	LogFile:	_nsga2_400pop_zz_paint_06_02__020.txt	1001000010011011100100000100010010010100010101	9333	1568753703
0.0036129778163162	1.0000000000000000	6141714	1818	25000342	0.413043 	 GenLen: 	 46 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.03592003 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 800 	 LastPfUpdateTime: 	 0.00 	LogFile:	_nsga2_400pop_zz_paint_06_02__021.txt	0100011100010001010011110000011101001101000001	9333	1568753708
0.0036129778163162	1.0000000000000000	8920644	2936	25000342	0.434783 	 GenLen: 	 46 	 PFSize: 	 3 	 HypVol: 	 0.99162994 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.03592003 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 213 	 LastPfUpdateTime: 	 0.00 	LogFile:	_nsga2_400pop_zz_paint_06_02__022.txt	1011000010010110000101111100001001110110000001	9347	1568753713
0.0036129778163162	1.0000000000000000	2263643	398	25000342	0.391304 	 GenLen: 	 46 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.03592003 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 439 	 LastPfUpdateTime: 	 0.00 	LogFile:	_nsga2_400pop_zz_paint_06_02__023.txt	0000010101110010111000101101010000001000110010	9738	1568753718
0.0058213994644313	1.0000000000000000	1602	0	25000342	0.500000 	 GenLen: 	 46 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.03592003 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 556 	 LastPfUpdateTime: 	 0.00 	LogFile:	_nsga2_400pop_zz_paint_06_02__024.txt	1011010000000110111100100110101001001110111010	9738	1568753723
0.0036144142841653	1.0000000000000000	2003	0	25000342	0.586957 	 GenLen: 	 46 	 PFSize: 	 4 	 HypVol: 	 0.99163354 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.03592003 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 354 	 LastPfUpdateTime: 	 0.00 	LogFile:	_nsga2_400pop_zz_paint_06_02__025.txt	0011111010100111001101100111011000110101111010	9715	1568753728
0.0040423639744523	1.0000000000000000	1602394	283	25000342	0.456522 	 GenLen: 	 46 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.03592003 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 563 	 LastPfUpdateTime: 	 0.00 	LogFile:	_nsga2_400pop_zz_paint_06_02__026.txt	1001000111010011101011110100110010010000001001	9693	1568753733
0.0036129778163162	1.0000000000000000	16889316	6425	25000342	0.543478 	 GenLen: 	 46 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.03592003 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 394 	 LastPfUpdateTime: 	 0.00 	LogFile:	_nsga2_400pop_zz_paint_06_02__027.txt	1011101001010000001001011110111101101111000110	9742	1568753738
0.0041844505816386	1.0000000000000000	16023156	6045	25000342	0.478261 	 GenLen: 	 46 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.03592003 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 689 	 LastPfUpdateTime: 	 0.00 	LogFile:	_nsga2_400pop_zz_paint_06_02__028.txt	1101100100000101110000000110111000101101110101	9703	1568753743
0.0040423639744523	1.0000000000000000	3028751	677	25000342	0.521739 	 GenLen: 	 46 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.03592003 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 593 	 LastPfUpdateTime: 	 0.00 	LogFile:	_nsga2_400pop_zz_paint_06_02__029.txt	1011001011010000011010110111011010001111000101	9415	1568753748
0.0041844505816386	1.0000000000000000	2003	0	25000342	0.478261 	 GenLen: 	 46 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.03592003 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 899 	 LastPfUpdateTime: 	 0.01 	LogFile:	_nsga2_400pop_zz_paint_06_02__030.txt	0000000010101111101101111000000110001111010101	9711	1568753753
0.0036129778163162	1.0000000000000000	10837424	4196	25000342	0.565217 	 GenLen: 	 46 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.03592003 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 455 	 LastPfUpdateTime: 	 0.00 	LogFile:	_nsga2_400pop_zz_paint_06_02__031.txt	1111101010000010110100100110010111101111011001	9768	1568754092
0.0058213994644313	1.0000000000000000	1201	0	25000342	0.391304 	 GenLen: 	 46 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.03592003 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 675 	 LastPfUpdateTime: 	 0.00 	LogFile:	_nsga2_400pop_zz_paint_06_02__032.txt	0101100000100110000011110011010000101001010001	9780	1568754097
0.0036129778163162	1.0000000000000000	52529	19	25000342	0.413043 	 GenLen: 	 46 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.03592003 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 318 	 LastPfUpdateTime: 	 0.00 	LogFile:	_nsga2_400pop_zz_paint_06_02__033.txt	0000100101000010111101011100000001010011110001	9786	1568754102
0.0047714476572192	1.0000000000000000	23595640	9285	25000342	0.434783 	 GenLen: 	 46 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.03592003 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 482 	 LastPfUpdateTime: 	 0.00 	LogFile:	_nsga2_400pop_zz_paint_06_02__034.txt	1110010000010001100101100101001010110001001110	9792	1568754108
0.0040423639744523	1.0000000000000000	15460152	6095	25000342	0.456522 	 GenLen: 	 46 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.03592003 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 639 	 LastPfUpdateTime: 	 0.00 	LogFile:	_nsga2_400pop_zz_paint_06_02__035.txt	0110001100010000001101010101000110110111100110	9807	1568754113
