783.0000000000000000	1.0000000000000000	1201	1	1601	0.500000 	 GenLen: 	 6 	 PFSize: 	 2 	 HypVol: 	 1139.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 25.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 40 	 LastPfUpdateTime: 	 0.00 	LogFile:	_mop3ok_maxcut_6_015.txt	111000	1	1568679868
676.0000000000000000	1.0000000000000000	1201	1	1601	0.666667 	 GenLen: 	 6 	 PFSize: 	 2 	 HypVol: 	 1139.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 25.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 86 	 LastPfUpdateTime: 	 0.00 	LogFile:	_mop3ok_maxcut_6_016.txt	011101	1	1568679873
660.0000000000000000	1.0000000000000000	1201	1	1601	0.333333 	 GenLen: 	 6 	 PFSize: 	 2 	 HypVol: 	 1139.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 25.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 31 	 LastPfUpdateTime: 	 0.00 	LogFile:	_mop3ok_maxcut_6_017.txt	100001	1	1568679878
315.0000000000000000	1.0000000000000000	1201	0	1601	0.833333 	 GenLen: 	 6 	 PFSize: 	 2 	 HypVol: 	 1139.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 25.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 28 	 LastPfUpdateTime: 	 0.00 	LogFile:	_mop3ok_maxcut_6_018.txt	011111	0	1568679892
550.0000000000000000	1.0000000000000000	1201	0	1601	0.666667 	 GenLen: 	 6 	 PFSize: 	 2 	 HypVol: 	 1139.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 25.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 42 	 LastPfUpdateTime: 	 0.00 	LogFile:	_mop3ok_maxcut_6_019.txt	101101	0	1568679897
195.0000000000000000	1.0000000000000000	1201	0	1601	0.166667 	 GenLen: 	 6 	 PFSize: 	 2 	 HypVol: 	 1139.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 25.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 32 	 LastPfUpdateTime: 	 0.00 	LogFile:	_mop3ok_maxcut_6_020.txt	000001	0	1568679902
713.0000000000000000	1.0000000000000000	1201	1	1601	0.500000 	 GenLen: 	 6 	 PFSize: 	 2 	 HypVol: 	 1139.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 25.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 36 	 LastPfUpdateTime: 	 0.00 	LogFile:	_mop3ok_maxcut_6_021.txt	100110	1	1568679906
144.0000000000000000	1.0000000000000000	1201	0	1601	0.166667 	 GenLen: 	 6 	 PFSize: 	 2 	 HypVol: 	 1139.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 25.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 47 	 LastPfUpdateTime: 	 0.00 	LogFile:	_mop3ok_maxcut_6_022.txt	001000	0	1568679912
550.0000000000000000	1.0000000000000000	1201	0	1601	0.666667 	 GenLen: 	 6 	 PFSize: 	 2 	 HypVol: 	 1139.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 25.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 21 	 LastPfUpdateTime: 	 0.00 	LogFile:	_mop3ok_maxcut_6_023.txt	101101	0	1568679917
672.0000000000000000	1.0000000000000000	1201	1	1601	0.500000 	 GenLen: 	 6 	 PFSize: 	 2 	 HypVol: 	 1139.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 25.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 57 	 LastPfUpdateTime: 	 0.00 	LogFile:	_mop3ok_maxcut_6_024.txt	101100	1	1568679932
928.0000000000000000	1.0000000000000000	1201	0	1601	0.500000 	 GenLen: 	 6 	 PFSize: 	 2 	 HypVol: 	 1139.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 25.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 8 	 LastPfUpdateTime: 	 0.00 	LogFile:	_mop3ok_maxcut_6_025.txt	101010	0	1568679938
624.0000000000000000	1.0000000000000000	1201	1	1601	0.666667 	 GenLen: 	 6 	 PFSize: 	 2 	 HypVol: 	 1139.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 25.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 39 	 LastPfUpdateTime: 	 0.00 	LogFile:	_mop3ok_maxcut_6_026.txt	100111	1	1568679942
736.0000000000000000	1.0000000000000000	1201	0	1601	0.500000 	 GenLen: 	 6 	 PFSize: 	 2 	 HypVol: 	 1139.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 25.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 12 	 LastPfUpdateTime: 	 0.00 	LogFile:	_mop3ok_maxcut_6_027.txt	110001	0	1568679948
315.0000000000000000	1.0000000000000000	1201	0	1601	0.833333 	 GenLen: 	 6 	 PFSize: 	 2 	 HypVol: 	 1139.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 25.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 23 	 LastPfUpdateTime: 	 0.00 	LogFile:	_mop3ok_maxcut_6_028.txt	011111	0	1568679954
713.0000000000000000	1.0000000000000000	1201	1	1601	0.500000 	 GenLen: 	 6 	 PFSize: 	 2 	 HypVol: 	 1139.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 25.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 70 	 LastPfUpdateTime: 	 0.00 	LogFile:	_mop3ok_maxcut_6_029.txt	011001	1	1568679958
528.0000000000000000	1.0000000000000000	1201	0	1601	0.666667 	 GenLen: 	 6 	 PFSize: 	 2 	 HypVol: 	 1139.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 25.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 8 	 LastPfUpdateTime: 	 0.00 	LogFile:	_mop3ok_maxcut_6_030.txt	111100	0	1568679963
315.0000000000000000	1.0000000000000000	1201	0	1601	0.166667 	 GenLen: 	 6 	 PFSize: 	 2 	 HypVol: 	 1139.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 25.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 53 	 LastPfUpdateTime: 	 0.00 	LogFile:	_mop3ok_maxcut_6_031.txt	000100	0	1568679968
