3701.5000000000000000	1.0000000000000000	80733	109	26353660	0.580000 	 GenLen: 	 100 	 PFSize: 	 101 	 HypVol: 	 12979223.00000000 	 IGD: 	 35.32500000 	 GD: 	 20.71287129 	 MaxSpread: 	 1738645.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 20090050 	 LastPfUpdateTime: 	 3288.46 	LogFile:	_mogomea_knap_100_013.txt	0001110110010111111101111000110110010110110110000110111110101111011101011100110101110000110000110001	3320	1568736886
3718.0000000000000000	1.0000000000000000	374538	140	27262020	0.580000 	 GenLen: 	 100 	 PFSize: 	 106 	 HypVol: 	 12978500.00000000 	 IGD: 	 24.37500000 	 GD: 	 13.21698113 	 MaxSpread: 	 1738645.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 21054928 	 LastPfUpdateTime: 	 3347.72 	LogFile:	_mogomea_knap_100_014.txt	0001110111000111111101111001110011010110110110000110111110101111001101111100110100110000110000110001	3380	1568736966
3705.0000000000000000	1.0000000000000000	28345	81	27024763	0.590000 	 GenLen: 	 100 	 PFSize: 	 102 	 HypVol: 	 12979540.00000000 	 IGD: 	 41.08333333 	 GD: 	 23.07843137 	 MaxSpread: 	 1738645.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 20495912 	 LastPfUpdateTime: 	 3347.95 	LogFile:	_mogomea_knap_100_015.txt	0001110110010111011101111000110111011111110110001110111110101110011101011100110110110000110000010001	3384	1568737027
3716.0000000000000000	1.0000000000000000	139772	104	26423139	0.580000 	 GenLen: 	 100 	 PFSize: 	 112 	 HypVol: 	 12978514.00000000 	 IGD: 	 25.39166667 	 GD: 	 18.17857143 	 MaxSpread: 	 1738645.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 21297780 	 LastPfUpdateTime: 	 3346.76 	LogFile:	_mogomea_knap_100_016.txt	0001110100010111111101111001110010010110110110000110111110101111011101011110110101110000110000110001	3371	1568737087
3697.0000000000000000	1.0000000000000000	32547	71	26818758	0.570000 	 GenLen: 	 100 	 PFSize: 	 109 	 HypVol: 	 12978528.00000000 	 IGD: 	 23.85833333 	 GD: 	 12.47706422 	 MaxSpread: 	 1738645.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 22274543 	 LastPfUpdateTime: 	 3345.67 	LogFile:	_mogomea_knap_100_017.txt	0001110110110111111101111000101010010110110110000110111110101111011101101100110010110000110000110001	3367	1568737093
3695.0000000000000000	1.0000000000000000	101655	105	27647431	0.580000 	 GenLen: 	 100 	 PFSize: 	 100 	 HypVol: 	 12978878.00000000 	 IGD: 	 40.95000000 	 GD: 	 14.23000000 	 MaxSpread: 	 1738645.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 20389599 	 LastPfUpdateTime: 	 3188.38 	LogFile:	_mogomea_knap_100_018.txt	0001110111010111011101111000110011010110110111010110111100101111001101001100110110110000111000110001	3430	1568737166
3662.5000000000000000	1.0000000000000000	249703	125	25966942	0.580000 	 GenLen: 	 100 	 PFSize: 	 106 	 HypVol: 	 12978374.00000000 	 IGD: 	 34.55833333 	 GD: 	 13.13207547 	 MaxSpread: 	 1738645.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 19781715 	 LastPfUpdateTime: 	 3294.23 	LogFile:	_mogomea_knap_100_019.txt	0001110100010111111101111000110010010110110110001111111110101111010101011110110101110000110000110001	3325	1568737242
3763.0000000000000000	1.0000000000000000	270442	142	27436167	0.590000 	 GenLen: 	 100 	 PFSize: 	 103 	 HypVol: 	 12979475.00000000 	 IGD: 	 37.17500000 	 GD: 	 17.89320388 	 MaxSpread: 	 1738645.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 20691696 	 LastPfUpdateTime: 	 3347.40 	LogFile:	_mogomea_knap_100_020.txt	0001110110010111111101111000110011010111110110010110111111101110011101001100110101110000110000110001	3386	1568737315
3727.5000000000000000	1.0000000000000000	58057	134	27596487	0.580000 	 GenLen: 	 100 	 PFSize: 	 96 	 HypVol: 	 12997830.00000000 	 IGD: 	 28.45833333 	 GD: 	 7.39583333 	 MaxSpread: 	 1706256.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 18826626 	 LastPfUpdateTime: 	 2745.39 	LogFile:	_mogomea_knap_100_021.txt	0001110110010111111101111000110010010110110110000110111110101111011111011100110101110000110000110001	3392	1568737388
3684.0000000000000000	1.0000000000000000	2120205	458	27233390	0.580000 	 GenLen: 	 100 	 PFSize: 	 96 	 HypVol: 	 12997688.00000000 	 IGD: 	 69.75000000 	 GD: 	 94.43750000 	 MaxSpread: 	 1844714.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 20562906 	 LastPfUpdateTime: 	 3317.76 	LogFile:	_mogomea_knap_100_022.txt	0001110101010111011101111000110010010110110110000110111110101111011101011110110111110000110000110001	3352	1568737587
