4246.4165039062500000	1.0000000000000000	18878990	2612	25000360	0.670000 	 GenLen: 	 100 	 PFSize: 	 63 	 HypVol: 	 13251260.00000000 	 IGD: 	 1417.76666667 	 GD: 	 994.11111111 	 MaxSpread: 	 1704420.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 24808528 	 LastPfUpdateTime: 	 3669.53 	LogFile:	_mop3_knap_100_011.txt	0111111110101001001110011101101111010101010111010111110111111110111110011101110000011011111010110011	3711	1568716217
4237.3115234375000000	1.0000000000000000	22547882	3263	25000752	0.690000 	 GenLen: 	 100 	 PFSize: 	 62 	 HypVol: 	 13290088.00000000 	 IGD: 	 1402.05000000 	 GD: 	 766.75806452 	 MaxSpread: 	 1373125.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 24114182 	 LastPfUpdateTime: 	 3569.80 	LogFile:	_mop3_knap_100_012.txt	0111111110101001011110011101101111010101011111010111110111111110111010001111110000110011111011110101	3739	1568716222
4237.1523437500000000	1.0000000000000000	3415846	451	25000012	0.710000 	 GenLen: 	 100 	 PFSize: 	 69 	 HypVol: 	 13315761.00000000 	 IGD: 	 1598.93333333 	 GD: 	 1088.40579710 	 MaxSpread: 	 1531625.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 22214888 	 LastPfUpdateTime: 	 3179.30 	LogFile:	_mop3_knap_100_013.txt	1111110110101001001111011101100011110101011111110110110111111110111111111101111000010010111011110111	3724	1568716230
4233.8081054687500000	1.0000000000000000	21800126	3138	25000222	0.680000 	 GenLen: 	 100 	 PFSize: 	 68 	 HypVol: 	 13203030.00000000 	 IGD: 	 1316.70833333 	 GD: 	 1072.55882353 	 MaxSpread: 	 1609682.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 24884186 	 LastPfUpdateTime: 	 3730.53 	LogFile:	_mop3_knap_100_014.txt	1111111110100001001110011001100111111101011111010111111111111110111111101101110100010110111000110001	3759	1568716235
4226.3461914062500000	1.0000000000000000	21930558	3137	25000342	0.660000 	 GenLen: 	 100 	 PFSize: 	 64 	 HypVol: 	 13250316.00000000 	 IGD: 	 1135.20833333 	 GD: 	 875.50000000 	 MaxSpread: 	 1389970.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 24997702 	 LastPfUpdateTime: 	 3724.01 	LogFile:	_mop3_knap_100_015.txt	0111110110100001001110011001001111111101010111010111111111111110111110001101110000111110111010110011	3732	1568716243
4236.9594726562500000	1.0000000000000000	19349072	2691	25000016	0.680000 	 GenLen: 	 100 	 PFSize: 	 71 	 HypVol: 	 13222216.00000000 	 IGD: 	 1424.41666667 	 GD: 	 972.30985915 	 MaxSpread: 	 1481465.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 20603910 	 LastPfUpdateTime: 	 2886.70 	LogFile:	_mop3_knap_100_016.txt	0101111110101001001110011001101011110101011111110110110111111110111110001111111000110011111001110111	3735	1568716252
4240.1108398437500000	1.0000000000000000	21243214	3003	25000770	0.710000 	 GenLen: 	 100 	 PFSize: 	 69 	 HypVol: 	 13303685.00000000 	 IGD: 	 2704.77500000 	 GD: 	 534.79710145 	 MaxSpread: 	 1131400.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 24898810 	 LastPfUpdateTime: 	 3705.83 	LogFile:	_mop3_knap_100_017.txt	1111110110100001001110011001101111111101011101110111110111111110111111011101111000010110111011110111	3731	1568716260
4233.3408203125000000	1.0000000000000000	21537060	3081	25000232	0.660000 	 GenLen: 	 100 	 PFSize: 	 64 	 HypVol: 	 13314868.00000000 	 IGD: 	 1602.75833333 	 GD: 	 1110.12500000 	 MaxSpread: 	 1545700.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 24811216 	 LastPfUpdateTime: 	 3706.36 	LogFile:	_mop3_knap_100_018.txt	1101111110100001001110011011100111010101010101110101110111111110111111011101110000110011111011110011	3747	1568716268
4231.8759765625000000	1.0000000000000000	8414012	1165	25000376	0.680000 	 GenLen: 	 100 	 PFSize: 	 71 	 HypVol: 	 13306662.00000000 	 IGD: 	 1667.04166667 	 GD: 	 1349.32394366 	 MaxSpread: 	 1571833.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 24114190 	 LastPfUpdateTime: 	 3611.83 	LogFile:	_mop3_knap_100_019.txt	0101111110101001001110011101101111111101010111010111110111111110111110011101110000010110111010110111	3775	1568716299
4238.7250976562500000	1.0000000000000000	23490664	3484	25000234	0.690000 	 GenLen: 	 100 	 PFSize: 	 69 	 HypVol: 	 13282134.00000000 	 IGD: 	 1377.59166667 	 GD: 	 768.63768116 	 MaxSpread: 	 1437928.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 24236952 	 LastPfUpdateTime: 	 3617.91 	LogFile:	_mop3_knap_100_020.txt	1101110110101001001111011101100111010101011111110110110101111110111110001111111100111011111010110101	3761	1568716355
