0.500000	1.000000	7474	1	144740	0.080000 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	1100000000000000000000000	1	1554253210
0.500000	1.000000	3317	0	47515	0.200000 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	1111100000000000000000000	0	1554253216
0.500000	1.000000	2810	0	74025	0.320000 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	1111111100000000000000000	0	1554253224
0.500000	1.000000	19624	0	82928	0.000000 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	0000000000000000000000000	0	1554253229
0.500000	1.000000	1636	0	35451	0.440000 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	1111111111100000000000000	0	1554253234
0.500000	1.000000	4356	0	71147	0.240000 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	1111110000000000000000000	0	1554253239
0.500000	1.000000	1611	0	174255	0.120000 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	1110000000000000000000000	0	1554253247
0.500000	1.000000	1050	0	97332	0.280000 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	1111111000000000000000000	0	1554253252
0.500000	1.000000	10002	0	36068	0.000000 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	0000000000000000000000000	0	1554253257
0.500000	1.000000	1548	0	73481	0.600000 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	1111111111111110000000000	0	1554253262
0.500000	1.000000	4697	0	45115	0.120000 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	1110000000000000000000000	0	1554253270
0.500000	1.000000	1065	0	195300	0.040000 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	1000000000000000000000000	1	1554253275
0.500000	1.000000	10276	0	170252	0.160000 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	1111000000000000000000000	1	1554253280
0.500000	1.000000	7745	0	385770	0.160000 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	1111000000000000000000000	2	1554253285
0.500000	1.000000	3039	0	110643	0.480000 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	1111111111110000000000000	1	1554253293
0.500000	1.000000	16455	0	189925	0.040000 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	1000000000000000000000000	1	1554253298
0.500000	1.000000	10923	0	89032	0.000000 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	0000000000000000000000000	1	1554253303
0.500000	1.000000	7893	0	153012	0.240000 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	1111110000000000000000000	1	1554253308
0.500000	1.000000	8664	0	75198	0.240000 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	1111110000000000000000000	1	1554253316
0.500000	1.000000	4918	1	30233	0.480000 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	1111111111110000000000000	1	1554253321
0.500000	1.000000	5384	0	20712	0.240000 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	1111110000000000000000000	0	1554253327
0.500000	1.000000	1652	0	54395	0.320000 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	1111111100000000000000000	0	1554253332
0.500000	1.000000	3270	0	23938	0.120000 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	1110000000000000000000000	0	1554253337
0.500000	1.000000	10836	0	109513	0.120000 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	1110000000000000000000000	0	1554253345
0.500000	1.000000	1082	0	31982	0.080000 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	1100000000000000000000000	0	1554253350
0.500000	1.000000	1631	0	57836	0.120000 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	1110000000000000000000000	0	1554253355
0.500000	1.000000	36901	0	29481441	0.460000 	 PFSize: 	 50 	 HypVol: 	 0.51000000 	 IGD: 	 0.00078431 	 GD: 	 0.00000000 	 MaxSpread: 	 1.96000000 	 DomOptimalPoints: 	 0 	11111111111111111111111000000000000000000000000000	247	1554253360
0.500000	1.000000	55267	1	25648832	0.080000 	 PFSize: 	 50 	 HypVol: 	 0.51000000 	 IGD: 	 0.00078431 	 GD: 	 0.00000000 	 MaxSpread: 	 1.96000000 	 DomOptimalPoints: 	 0 	11110000000000000000000000000000000000000000000000	201	1554253365
0.500000	1.000000	14244	0	25434537	0.600000 	 PFSize: 	 50 	 HypVol: 	 0.51000000 	 IGD: 	 0.00078431 	 GD: 	 0.00000000 	 MaxSpread: 	 1.96000000 	 DomOptimalPoints: 	 0 	11111111111111111111111111111100000000000000000000	209	1554253370
0.500000	1.000000	18404	0	25146512	0.460000 	 PFSize: 	 50 	 HypVol: 	 0.51000000 	 IGD: 	 0.00078431 	 GD: 	 0.00000000 	 MaxSpread: 	 1.96000000 	 DomOptimalPoints: 	 0 	11111111111111111111111000000000000000000000000000	203	1554253378
0.500000	1.000000	45515	1	3963712	0.360000 	 PFSize: 	 51 	 HypVol: 	 0.51000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	11111111111111111100000000000000000000000000000000	65	1554253383
0.500000	1.000000	37760	1	23343917	0.220000 	 PFSize: 	 51 	 HypVol: 	 0.51000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	11111111111000000000000000000000000000000000000000	204	1554253388
0.500000	1.000000	52177	2	29540857	0.440000 	 PFSize: 	 48 	 HypVol: 	 0.51040000 	 IGD: 	 0.00313725 	 GD: 	 0.00000000 	 MaxSpread: 	 1.88000000 	 DomOptimalPoints: 	 0 	11111111111111111111110000000000000000000000000000	439	1554253393
0.500000	1.000000	181510	12	5784231	0.160000 	 PFSize: 	 51 	 HypVol: 	 0.51000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	11111111000000000000000000000000000000000000000000	184	1554253399
0.500000	1.000000	36272	2	25319201	0.340000 	 PFSize: 	 50 	 HypVol: 	 0.51000000 	 IGD: 	 0.00078431 	 GD: 	 0.00000000 	 MaxSpread: 	 1.96000000 	 DomOptimalPoints: 	 0 	11111111111111111000000000000000000000000000000000	402	1554253408
0.500000	1.000000	41097	2	26159600	0.460000 	 PFSize: 	 50 	 HypVol: 	 0.51000000 	 IGD: 	 0.00078431 	 GD: 	 0.00000000 	 MaxSpread: 	 1.96000000 	 DomOptimalPoints: 	 0 	11111111111111111111111000000000000000000000000000	445	1554253413
0.500000	1.000000	39844	3	26680275	0.580000 	 PFSize: 	 49 	 HypVol: 	 0.51040000 	 IGD: 	 0.00235294 	 GD: 	 0.00000000 	 MaxSpread: 	 1.92000000 	 DomOptimalPoints: 	 0 	11111111111111111111111111111000000000000000000000	251	1554253421
0.500000	1.000000	39353	0	25514738	0.440000 	 PFSize: 	 50 	 HypVol: 	 0.51000000 	 IGD: 	 0.00078431 	 GD: 	 0.00000000 	 MaxSpread: 	 1.96000000 	 DomOptimalPoints: 	 0 	11111111111111111111110000000000000000000000000000	201	1554253455
0.500000	1.000000	74165	14	25289639	0.360000 	 PFSize: 	 48 	 HypVol: 	 0.51040000 	 IGD: 	 0.00313725 	 GD: 	 0.00000000 	 MaxSpread: 	 1.88000000 	 DomOptimalPoints: 	 0 	11111111111111111100000000000000000000000000000000	350	1554253541
0.500000	1.000000	20556	3	24578480	0.380000 	 PFSize: 	 51 	 HypVol: 	 0.51000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	11111111111111111110000000000000000000000000000000	396	1554253554
0.500000	1.000000	32031	4	25365938	0.380000 	 PFSize: 	 50 	 HypVol: 	 0.51000000 	 IGD: 	 0.00078431 	 GD: 	 0.00000000 	 MaxSpread: 	 1.96000000 	 DomOptimalPoints: 	 0 	11111111111111111110000000000000000000000000000000	210	1554253567
0.500000	1.000000	18021	2	26315022	0.260000 	 PFSize: 	 50 	 HypVol: 	 0.51000000 	 IGD: 	 0.00078431 	 GD: 	 0.00000000 	 MaxSpread: 	 1.96000000 	 DomOptimalPoints: 	 0 	11111111111110000000000000000000000000000000000000	414	1554253581
0.500000	1.000000	35550	3	25617400	0.580000 	 PFSize: 	 50 	 HypVol: 	 0.51000000 	 IGD: 	 0.00078431 	 GD: 	 0.00000000 	 MaxSpread: 	 1.96000000 	 DomOptimalPoints: 	 0 	11111111111111111111111111111000000000000000000000	389	1554253588
0.500000	1.000000	55599	2	26378893	0.500000 	 PFSize: 	 49 	 HypVol: 	 0.51000000 	 IGD: 	 0.00156863 	 GD: 	 0.00000000 	 MaxSpread: 	 1.92000000 	 DomOptimalPoints: 	 0 	11111111111111111111111110000000000000000000000000	237	1554253593
0.500000	1.000000	34947	1	22844801	0.340000 	 PFSize: 	 51 	 HypVol: 	 0.51000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	11111111111111111000000000000000000000000000000000	361	1554253603
0.500000	1.000000	22212	1	26881274	0.620000 	 PFSize: 	 50 	 HypVol: 	 0.51000000 	 IGD: 	 0.00078431 	 GD: 	 0.00000000 	 MaxSpread: 	 1.96000000 	 DomOptimalPoints: 	 0 	11111111111111111111111111111110000000000000000000	235	1554253611
0.500000	1.000000	18993	0	25001565	0.660000 	 PFSize: 	 49 	 HypVol: 	 0.51040000 	 IGD: 	 0.00235294 	 GD: 	 0.00000000 	 MaxSpread: 	 1.92000000 	 DomOptimalPoints: 	 0 	11111111111111111111111111111111100000000000000000	499	1554253662
0.500000	1.000000	47165	0	25405036	0.320000 	 PFSize: 	 50 	 HypVol: 	 0.51000000 	 IGD: 	 0.00078431 	 GD: 	 0.00000000 	 MaxSpread: 	 1.96000000 	 DomOptimalPoints: 	 0 	11111111111111110000000000000000000000000000000000	217	1554253676
0.500000	1.000000	37715	1	25013772	0.420000 	 PFSize: 	 50 	 HypVol: 	 0.51000000 	 IGD: 	 0.00078431 	 GD: 	 0.00000000 	 MaxSpread: 	 1.96000000 	 DomOptimalPoints: 	 0 	11111111111111111111100000000000000000000000000000	199	1554253784
0.500000	1.000000	37625	0	8086467	0.500000 	 PFSize: 	 51 	 HypVol: 	 0.51000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	11111111111111111111111110000000000000000000000000	68	1554253812
0.500000	1.000000	76726	0	25995863	0.340000 	 PFSize: 	 48 	 HypVol: 	 0.51040000 	 IGD: 	 0.00313725 	 GD: 	 0.00000000 	 MaxSpread: 	 1.88000000 	 DomOptimalPoints: 	 0 	11111111111111111000000000000000000000000000000000	234	1554253833
0.500000	1.000000	36017	1	25047229	0.460000 	 PFSize: 	 50 	 HypVol: 	 0.51000000 	 IGD: 	 0.00078431 	 GD: 	 0.00000000 	 MaxSpread: 	 1.96000000 	 DomOptimalPoints: 	 0 	11111111111111111111111000000000000000000000000000	214	1554253839
0.500000	1.000000	103689	5	25413734	0.200000 	 PFSize: 	 48 	 HypVol: 	 0.51120000 	 IGD: 	 0.00470588 	 GD: 	 0.00000000 	 MaxSpread: 	 1.88000000 	 DomOptimalPoints: 	 0 	11111111110000000000000000000000000000000000000000	238	1554253848
0.500000	1.000000	15039	1	26961442	0.500000 	 PFSize: 	 49 	 HypVol: 	 0.51000000 	 IGD: 	 0.00156863 	 GD: 	 0.00000000 	 MaxSpread: 	 1.92000000 	 DomOptimalPoints: 	 0 	11111111111111111111111110000000000000000000000000	402	1554253859
0.500000	1.000000	34071	3	26232301	0.520000 	 PFSize: 	 50 	 HypVol: 	 0.51000000 	 IGD: 	 0.00078431 	 GD: 	 0.00000000 	 MaxSpread: 	 1.96000000 	 DomOptimalPoints: 	 0 	11111111111111111111111111000000000000000000000000	240	1554253884
0.500000	1.000000	29751	3	11273740	0.500000 	 PFSize: 	 51 	 HypVol: 	 0.51000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	11111111111111111111111110000000000000000000000000	206	1554253893
0.500000	1.000000	58129	1	5520323	0.240000 	 PFSize: 	 51 	 HypVol: 	 0.51000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	11111111111100000000000000000000000000000000000000	42	1554253902
