0.986997	1.000000	1330	0	1972	1.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1924  	LogFile:	_mop3ok_lotz_25_017.txt	1111111111111111111111111	0	1563056643
0.988654	1.000000	1292	0	7210	1.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 7162  	LogFile:	_mop3ok_lotz_25_018.txt	1111111111111111111111111	0	1563056648
0.940688	1.000000	2140	0	2140	1.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 2092  	LogFile:	_mop3ok_lotz_25_019.txt	1111111111111111111111111	0	1563056653
0.992492	1.000000	670	0	2426	1.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 2378  	LogFile:	_mop3ok_lotz_25_020.txt	1111111111111111111111111	0	1563056658
0.962864	1.000000	1230	0	1712	1.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1664  	LogFile:	_mop3ok_lotz_25_021.txt	1111111111111111111111111	0	1563056663
0.893007	1.000000	1304	0	1304	1.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1256  	LogFile:	_mop3ok_lotz_25_022.txt	1111111111111111111111111	0	1563056668
0.890313	1.000000	2676	0	4250	0.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 4202  	LogFile:	_mop3ok_lotz_25_023.txt	0000000000000000000000000	0	1563056673
0.969621	1.000000	3304	0	3672	1.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 3624  	LogFile:	_mop3ok_lotz_25_024.txt	1111111111111111111111111	0	1563056678
0.924016	1.000000	1360	0	2866	1.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 2582  	LogFile:	_mop3ok_lotz_25_025.txt	1111111111111111111111111	0	1563056686
0.983154	1.000000	604	0	1726	1.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1678  	LogFile:	_mop3ok_lotz_25_026.txt	1111111111111111111111111	0	1563056691
