24.917234	25.000000	388	0	688	0.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 325.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 50.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 640  	LogFile:	_mop3ok_01max_25_017.txt	0000000000000000000000000	0	1563055327
23.910521	25.000000	388	0	684	0.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 325.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 50.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 636  	LogFile:	_mop3ok_01max_25_018.txt	0000000000000000000000000	0	1563055332
24.934782	25.000000	490	0	884	1.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 325.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 50.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 836  	LogFile:	_mop3ok_01max_25_019.txt	1111111111111111111111111	0	1563055337
15.897061	25.000000	394	0	394	0.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 325.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 50.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 346  	LogFile:	_mop3ok_01max_25_020.txt	0000000000000000000000000	0	1563055342
22.890347	25.000000	390	0	682	0.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 325.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 50.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 634  	LogFile:	_mop3ok_01max_25_021.txt	0000000000000000000000000	0	1563055347
24.971771	25.000000	100	0	400	1.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 325.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 50.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 352  	LogFile:	_mop3ok_01max_25_022.txt	1111111111111111111111111	0	1563055352
15.994751	25.000000	100	0	200	0.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 325.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 50.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 152  	LogFile:	_mop3ok_01max_25_023.txt	0000000000000000000000000	0	1563055360
22.848446	25.000000	96	0	294	0.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 325.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 50.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 246  	LogFile:	_mop3ok_01max_25_024.txt	0000000000000000000000000	0	1563055365
20.298624	25.000000	98	0	198	1.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 325.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 50.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 150  	LogFile:	_mop3ok_01max_25_025.txt	1111111111111111111111111	0	1563055370
24.846737	25.000000	692	0	980	1.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 325.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 50.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 932  	LogFile:	_mop3ok_01max_25_026.txt	1111111111111111111111111	0	1563055375
