30.0000000000000000	1.0000000000000000	10	1	70	0.500000 	 GenLen: 	 6 	 PFSize: 	 2 	 HypVol: 	 1139.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 25.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 54 	 LastPfUpdateTime: 	 0.28 	LogFile:	_mogomea_maxcut_6_015.txt	011010	1	1568730436
30.0000000000000000	1.0000000000000000	73	1	136	0.500000 	 GenLen: 	 6 	 PFSize: 	 2 	 HypVol: 	 1139.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 25.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 86 	 LastPfUpdateTime: 	 0.55 	LogFile:	_mogomea_maxcut_6_016.txt	100101	1	1568730446
30.0000000000000000	1.0000000000000000	283	1	283	0.500000 	 GenLen: 	 6 	 PFSize: 	 2 	 HypVol: 	 1139.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 25.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 124 	 LastPfUpdateTime: 	 0.83 	LogFile:	_mogomea_maxcut_6_017.txt	100101	1	1568730455
30.0000000000000000	1.0000000000000000	10	0	10	0.500000 	 GenLen: 	 6 	 PFSize: 	 2 	 HypVol: 	 1139.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 25.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 4 	 LastPfUpdateTime: 	 0.00 	LogFile:	_mogomea_maxcut_6_018.txt	011010	1	1568730464
30.0000000000000000	1.0000000000000000	77	1	77	0.500000 	 GenLen: 	 6 	 PFSize: 	 2 	 HypVol: 	 1139.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 25.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 35 	 LastPfUpdateTime: 	 0.28 	LogFile:	_mogomea_maxcut_6_019.txt	011010	1	1568730473
30.0000000000000000	1.0000000000000000	71	0	105	0.500000 	 GenLen: 	 6 	 PFSize: 	 2 	 HypVol: 	 1139.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 25.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 77 	 LastPfUpdateTime: 	 0.55 	LogFile:	_mogomea_maxcut_6_020.txt	011010	1	1568730483
30.0000000000000000	1.0000000000000000	10	0	91	0.500000 	 GenLen: 	 6 	 PFSize: 	 2 	 HypVol: 	 1139.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 25.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 16 	 LastPfUpdateTime: 	 0.28 	LogFile:	_mogomea_maxcut_6_021.txt	011010	1	1568730492
30.0000000000000000	1.0000000000000000	67	1	67	0.500000 	 GenLen: 	 6 	 PFSize: 	 2 	 HypVol: 	 1139.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 25.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 65 	 LastPfUpdateTime: 	 0.28 	LogFile:	_mogomea_maxcut_6_022.txt	011010	1	1568730501
30.5000000000000000	1.0000000000000000	70	0	234	0.500000 	 GenLen: 	 6 	 PFSize: 	 2 	 HypVol: 	 1139.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 25.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 197 	 LastPfUpdateTime: 	 0.83 	LogFile:	_mogomea_maxcut_6_023.txt	101010	1	1568730511
30.0000000000000000	1.0000000000000000	10	0	68	0.500000 	 GenLen: 	 6 	 PFSize: 	 2 	 HypVol: 	 1139.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 25.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 29 	 LastPfUpdateTime: 	 0.27 	LogFile:	_mogomea_maxcut_6_024.txt	100101	0	1568730520
30.0000000000000000	1.0000000000000000	10	0	314	0.500000 	 GenLen: 	 6 	 PFSize: 	 2 	 HypVol: 	 1139.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 25.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 153 	 LastPfUpdateTime: 	 0.80 	LogFile:	_mogomea_maxcut_6_025.txt	100101	1	1568730529
30.0000000000000000	1.0000000000000000	60	1	60	0.500000 	 GenLen: 	 6 	 PFSize: 	 2 	 HypVol: 	 1139.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 25.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 51 	 LastPfUpdateTime: 	 0.32 	LogFile:	_mogomea_maxcut_6_026.txt	100101	1	1568730538
30.0000000000000000	1.0000000000000000	118	1	118	0.500000 	 GenLen: 	 6 	 PFSize: 	 2 	 HypVol: 	 1139.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 25.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 95 	 LastPfUpdateTime: 	 0.55 	LogFile:	_mogomea_maxcut_6_027.txt	011010	1	1568730547
30.5000000000000000	1.0000000000000000	10	0	55	0.500000 	 GenLen: 	 6 	 PFSize: 	 2 	 HypVol: 	 1139.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 25.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 16 	 LastPfUpdateTime: 	 0.27 	LogFile:	_mogomea_maxcut_6_028.txt	101010	0	1568730557
30.5000000000000000	1.0000000000000000	10	0	56	0.500000 	 GenLen: 	 6 	 PFSize: 	 2 	 HypVol: 	 1139.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 25.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 18 	 LastPfUpdateTime: 	 0.28 	LogFile:	_mogomea_maxcut_6_029.txt	101010	1	1568730566
30.0000000000000000	1.0000000000000000	10	1	308	0.500000 	 GenLen: 	 6 	 PFSize: 	 2 	 HypVol: 	 1139.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 25.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 166 	 LastPfUpdateTime: 	 0.82 	LogFile:	_mogomea_maxcut_6_030.txt	011010	2	1568730575
30.0000000000000000	1.0000000000000000	57	1	278	0.500000 	 GenLen: 	 6 	 PFSize: 	 2 	 HypVol: 	 1139.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 25.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 246 	 LastPfUpdateTime: 	 0.83 	LogFile:	_mogomea_maxcut_6_031.txt	100101	2	1568730584
30.0000000000000000	1.0000000000000000	10	0	10	0.500000 	 GenLen: 	 6 	 PFSize: 	 2 	 HypVol: 	 1139.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 25.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 8 	 LastPfUpdateTime: 	 0.00 	LogFile:	_mogomea_maxcut_6_032.txt	011010	0	1568730594
30.0000000000000000	1.0000000000000000	73	1	73	0.500000 	 GenLen: 	 6 	 PFSize: 	 2 	 HypVol: 	 1139.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 25.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 58 	 LastPfUpdateTime: 	 0.27 	LogFile:	_mogomea_maxcut_6_033.txt	100101	1	1568730603
30.0000000000000000	1.0000000000000000	70	1	70	0.500000 	 GenLen: 	 6 	 PFSize: 	 2 	 HypVol: 	 1139.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 25.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 64 	 LastPfUpdateTime: 	 0.28 	LogFile:	_mogomea_maxcut_6_034.txt	100101	1	1568730612
30.0000000000000000	1.0000000000000000	116	1	116	0.500000 	 GenLen: 	 6 	 PFSize: 	 2 	 HypVol: 	 1139.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 25.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 96 	 LastPfUpdateTime: 	 0.55 	LogFile:	_mogomea_maxcut_6_035.txt	100101	1	1568730621
30.0000000000000000	1.0000000000000000	10	0	81	0.500000 	 GenLen: 	 6 	 PFSize: 	 2 	 HypVol: 	 1139.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 25.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 72 	 LastPfUpdateTime: 	 0.26 	LogFile:	_mogomea_maxcut_6_036.txt	100101	0	1568730631
30.0000000000000000	1.0000000000000000	10	1	10	0.500000 	 GenLen: 	 6 	 PFSize: 	 2 	 HypVol: 	 1139.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 25.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 5 	 LastPfUpdateTime: 	 0.00 	LogFile:	_mogomea_maxcut_6_037.txt	011010	1	1568730635
30.0000000000000000	1.0000000000000000	10	0	262	0.500000 	 GenLen: 	 6 	 PFSize: 	 2 	 HypVol: 	 1139.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 25.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 213 	 LastPfUpdateTime: 	 0.75 	LogFile:	_mogomea_maxcut_6_038.txt	100101	1	1568730644
30.0000000000000000	1.0000000000000000	291	1	291	0.500000 	 GenLen: 	 6 	 PFSize: 	 2 	 HypVol: 	 1139.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 25.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 159 	 LastPfUpdateTime: 	 0.75 	LogFile:	_mogomea_maxcut_6_039.txt	011010	1	1568730649
30.0000000000000000	1.0000000000000000	93	1	307	0.500000 	 GenLen: 	 6 	 PFSize: 	 2 	 HypVol: 	 1139.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 25.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 189 	 LastPfUpdateTime: 	 0.74 	LogFile:	_mogomea_maxcut_6_040.txt	100101	1	1568730654
30.5000000000000000	1.0000000000000000	10	0	78	0.500000 	 GenLen: 	 6 	 PFSize: 	 2 	 HypVol: 	 1139.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 25.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 31 	 LastPfUpdateTime: 	 0.25 	LogFile:	_mogomea_maxcut_6_041.txt	010101	1	1568730659
30.0000000000000000	1.0000000000000000	81	0	81	0.500000 	 GenLen: 	 6 	 PFSize: 	 2 	 HypVol: 	 1139.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 25.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 35 	 LastPfUpdateTime: 	 0.25 	LogFile:	_mogomea_maxcut_6_042.txt	100101	0	1568730668
30.0000000000000000	1.0000000000000000	69	0	69	0.500000 	 GenLen: 	 6 	 PFSize: 	 2 	 HypVol: 	 1139.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 25.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 38 	 LastPfUpdateTime: 	 0.24 	LogFile:	_mogomea_maxcut_6_043.txt	011010	1	1568730673
30.0000000000000000	1.0000000000000000	10	0	68	0.500000 	 GenLen: 	 6 	 PFSize: 	 2 	 HypVol: 	 1139.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 25.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 45 	 LastPfUpdateTime: 	 0.24 	LogFile:	_mogomea_maxcut_6_044.txt	011010	0	1568730678
30.0000000000000000	1.0000000000000000	10	0	10	0.500000 	 GenLen: 	 6 	 PFSize: 	 2 	 HypVol: 	 1139.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 25.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 7 	 LastPfUpdateTime: 	 0.00 	LogFile:	_mogomea_maxcut_6_045.txt	100101	0	1568730683
30.0000000000000000	1.0000000000000000	236	0	236	0.500000 	 GenLen: 	 6 	 PFSize: 	 2 	 HypVol: 	 1139.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 25.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 182 	 LastPfUpdateTime: 	 0.70 	LogFile:	_mogomea_maxcut_6_046.txt	011010	1	1568730692
