272.0000000000000000	25.0000000000000000	15814235	7300	25000342	0.600000 	 GenLen: 	 25 	 PFSize: 	 7 	 HypVol: 	 125.00000000 	 IGD: 	 18.33333333 	 GD: 	 18.57142857 	 MaxSpread: 	 98.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 14547890 	 LastPfUpdateTime: 	 6661.56 	LogFile:	_nsga2_400pop_t5_it5_25__014.txt	1111111011111110000000100	11964	1568604844
272.0000000000000000	25.0000000000000000	2102441	964	25000342	0.600000 	 GenLen: 	 25 	 PFSize: 	 4 	 HypVol: 	 174.00000000 	 IGD: 	 18.66666667 	 GD: 	 18.00000000 	 MaxSpread: 	 32.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 18718502 	 LastPfUpdateTime: 	 8779.86 	LogFile:	_nsga2_400pop_t5_it5_25__015.txt	1111101110111110000010100	12002	1568604849
272.0000000000000000	25.0000000000000000	4402978	1955	25000342	0.360000 	 GenLen: 	 25 	 PFSize: 	 5 	 HypVol: 	 173.00000000 	 IGD: 	 18.33333333 	 GD: 	 18.00000000 	 MaxSpread: 	 32.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 10842764 	 LastPfUpdateTime: 	 4787.26 	LogFile:	_nsga2_400pop_t5_it5_25__016.txt	1111100000000010000001110	11966	1568604863
272.0000000000000000	25.0000000000000000	11325441	5006	25000342	0.400000 	 GenLen: 	 25 	 PFSize: 	 6 	 HypVol: 	 157.00000000 	 IGD: 	 18.33333333 	 GD: 	 18.33333333 	 MaxSpread: 	 50.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 19391496 	 LastPfUpdateTime: 	 9093.32 	LogFile:	_nsga2_400pop_t5_it5_25__017.txt	0000010110000000100111111	11975	1568604881
272.0000000000000000	25.0000000000000000	912674	442	25000342	0.600000 	 GenLen: 	 25 	 PFSize: 	 6 	 HypVol: 	 141.00000000 	 IGD: 	 18.33333333 	 GD: 	 18.33333333 	 MaxSpread: 	 72.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 23895860 	 LastPfUpdateTime: 	 11426.93 	LogFile:	_nsga2_400pop_t5_it5_25__018.txt	1110100010000001111111111	11988	1568604907
272.0000000000000000	25.0000000000000000	1609211	734	25000342	0.640000 	 GenLen: 	 25 	 PFSize: 	 5 	 HypVol: 	 173.00000000 	 IGD: 	 18.33333333 	 GD: 	 18.00000000 	 MaxSpread: 	 32.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 20656308 	 LastPfUpdateTime: 	 9748.92 	LogFile:	_nsga2_400pop_t5_it5_25__019.txt	0000011001111111111111010	11963	1568605103
272.0000000000000000	25.0000000000000000	3449400	1517	25000342	0.400000 	 GenLen: 	 25 	 PFSize: 	 6 	 HypVol: 	 156.00000000 	 IGD: 	 18.00000000 	 GD: 	 18.00000000 	 MaxSpread: 	 50.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 18708702 	 LastPfUpdateTime: 	 8774.24 	LogFile:	_nsga2_400pop_t5_it5_25__020.txt	1010100000000000001111111	12002	1568605117
272.0000000000000000	25.0000000000000000	5345328	2358	25000342	0.600000 	 GenLen: 	 25 	 PFSize: 	 6 	 HypVol: 	 157.00000000 	 IGD: 	 18.33333333 	 GD: 	 18.33333333 	 MaxSpread: 	 50.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 15264884 	 LastPfUpdateTime: 	 7080.22 	LogFile:	_nsga2_400pop_t5_it5_25__021.txt	1111111111110010000010100	12067	1568605800
378.0000000000000000	25.0000000000000000	17351268	8204	25000342	0.080000 	 GenLen: 	 25 	 PFSize: 	 6 	 HypVol: 	 156.00000000 	 IGD: 	 18.00000000 	 GD: 	 18.00000000 	 MaxSpread: 	 50.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 15868551 	 LastPfUpdateTime: 	 7443.22 	LogFile:	_nsga2_400pop_t5_it5_25__022.txt	0000000000000000000000110	12141	1568605814
272.0000000000000000	25.0000000000000000	8381700	3694	25000342	0.360000 	 GenLen: 	 25 	 PFSize: 	 6 	 HypVol: 	 156.00000000 	 IGD: 	 18.00000000 	 GD: 	 18.00000000 	 MaxSpread: 	 50.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 20869566 	 LastPfUpdateTime: 	 10011.38 	LogFile:	_nsga2_400pop_t5_it5_25__023.txt	0000000000111111010100100	12136	1568605832
272.0000000000000000	25.0000000000000000	16571724	7807	25000342	0.840000 	 GenLen: 	 25 	 PFSize: 	 6 	 HypVol: 	 156.00000000 	 IGD: 	 18.00000000 	 GD: 	 18.00000000 	 MaxSpread: 	 50.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 8033711 	 LastPfUpdateTime: 	 3554.02 	LogFile:	_nsga2_400pop_t5_it5_25__024.txt	0011111111111111111100111	12145	1568605924
