0.238095	1.000000	348666	2	25000092	0.456522 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 98  	LogFile:	_mop3ok_zz_paint_06_02__017.txt	0111000101011011001000111100101010000101100010	101	1555430839
0.238082	1.000000	22669950	98	25000826	0.565217 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 128  	LogFile:	_mop3ok_zz_paint_06_02__018.txt	0010101001111110111011110000101001101110101010	106	1555430871
0.238095	1.000000	6519736	42	25000762	0.434783 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 186  	LogFile:	_mop3ok_zz_paint_06_02__019.txt	0010010001000011101011010001010010001111101010	115	1555430879
0.238095	1.000000	1112578	12	25000012	0.543478 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 146  	LogFile:	_mop3ok_zz_paint_06_02__020.txt	0101010001001001110101011110111111001001101010	109	1555430893
0.238095	1.000000	19988174	87	25000868	0.521739 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 58  	LogFile:	_mop3ok_zz_paint_06_02__021.txt	1010011100011001001001110111010111000101100110	104	1555430941
0.238095	1.000000	13083918	62	25000758	0.369565 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 126  	LogFile:	_mop3ok_zz_paint_06_02__022.txt	0101011010011110010000001000100000001011001010	101	1555430979
0.238095	1.000000	1254760	12	25000516	0.434783 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 168  	LogFile:	_mop3ok_zz_paint_06_02__023.txt	0101101111011001000100010100101000101101000001	102	1555430996
0.238095	1.000000	602170	7	25001082	0.521739 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 142  	LogFile:	_mop3ok_zz_paint_06_02__024.txt	0000011101111111111011010101001000001001010110	103	1555431004
0.238095	1.000000	13307570	60	25000954	0.434783 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 106  	LogFile:	_mop3ok_zz_paint_06_02__025.txt	0001000111110011010101001001000010101100001110	99	1555431049
0.238095	1.000000	15258134	62	25000650	0.521739 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 228  	LogFile:	_mop3ok_zz_paint_06_02__026.txt	1101001111000001111010011100111101110010000010	100	1555431081
0.238095	1.000000	3974172	26	25000282	0.565217 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 66  	LogFile:	_mop3ok_zz_paint_06_02__027.txt	1001101011110001100001110000111111100011110110	107	1555431098
0.238076	1.000000	23583576	99	25000898	0.478261 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 126  	LogFile:	_mop3ok_zz_paint_06_02__028.txt	0100010111001100101010001001010110110001011110	105	1555431110
0.238084	1.000000	2013456	12	25000320	0.608696 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 186  	LogFile:	_mop3ok_zz_paint_06_02__029.txt	1110101000111111100100110011010111010101011110	106	1555431151
0.238095	1.000000	1572432	17	25000856	0.478261 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 182  	LogFile:	_mop3ok_zz_paint_06_02__030.txt	1101001100111100000000001010011101110000111101	111	1555431183
0.238095	1.000000	10055844	52	25000812	0.543478 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 226  	LogFile:	_mop3ok_zz_paint_06_02__031.txt	1011010110011111110000111111001110001000100100	124	1555431207
0.238089	1.000000	5344922	32	25000896	0.586957 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 174  	LogFile:	_mop3ok_zz_paint_06_02__032.txt	0111011101101101011100100000101011101010111110	114	1555431218
0.238095	1.000000	14948940	97	25000888	0.500000 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 90  	LogFile:	_mop3ok_zz_paint_06_02__033.txt	0100100101011000001011100011001111110010111100	127	1555431260
0.238095	1.000000	7175122	28	25000954	0.565217 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 130  	LogFile:	_mop3ok_zz_paint_06_02__034.txt	1011100111100011010011110110100010100001111101	83	1555431388
0.238095	1.000000	3676716	12	25000372	0.521739 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 136  	LogFile:	_mop3ok_zz_paint_06_02__035.txt	0011010010010011110101011011010010110010110110	70	1555431473
0.238095	1.000000	389868	1	25000884	0.478261 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 98  	LogFile:	_mop3ok_zz_paint_06_02__036.txt	1110011011111000000101010010100101100110010001	71	1555431545
0.238095	1.000000	16003896	73	25000596	0.565217 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 160  	LogFile:	_mop3ok_zz_paint_06_02__037.txt	0111101110110010101010011001000111110110010101	102	1555431618
0.238095	1.000000	6648950	27	25001036	0.565217 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 122  	LogFile:	_mop3ok_zz_paint_06_02__038.txt	1010101010101010011100101100110111110100011110	75	1555431723
0.238068	1.000000	18109996	48	25000014	0.456522 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 120  	LogFile:	_mop3ok_zz_paint_06_02__039.txt	0101010100101101000101100111001100010101001010	66	1555431799
0.238089	1.000000	7813004	20	25000714	0.673913 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 110  	LogFile:	_mop3ok_zz_paint_06_02__040.txt	0111011111111100111101101010111011101100100101	61	1555431867
0.238095	1.000000	7273654	18	25000288	0.456522 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 136  	LogFile:	_mop3ok_zz_paint_06_02__041.txt	1010010001000010101101001100010111100001101101	61	1555431931
0.238081	1.000000	790662	2	25000092	0.391304 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 116  	LogFile:	_mop3ok_zz_paint_06_02__042.txt	1100100100001101001101001100101000001000011010	59	1555431993
0.238034	1.000000	23512682	57	25000954	0.543478 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 174  	LogFile:	_mop3ok_zz_paint_06_02__043.txt	1110010011011101010011010101000100010110111101	61	1555432053
0.238064	1.000000	23838492	57	25000672	0.543478 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 104  	LogFile:	_mop3ok_zz_paint_06_02__044.txt	1001100010001111011010110010110001110100111110	60	1555432116
0.238043	1.000000	8805484	34	25000434	0.456522 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 78  	LogFile:	_mop3ok_zz_paint_06_02__045.txt	0000011101101101110011101011000101001000000101	83	1555432179
0.238095	1.000000	16034434	65	25000218	0.478261 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 50  	LogFile:	_mop3ok_zz_paint_06_02__046.txt	0110000101001000110011011110111000000111101010	96	1555432262
0.238066	1.000000	3803564	14	25000158	0.565217 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 152  	LogFile:	_mop3ok_zz_paint_06_02__047.txt	0111010110001110011010110110101101101000101110	70	1555432358
0.238089	1.000000	16739938	54	25000022	0.347826 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 124  	LogFile:	_mop3ok_zz_paint_06_02__048.txt	0100100100001100010100000001010110110101000010	81	1555432430
0.238075	1.000000	6127040	44	25000138	0.543478 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 144  	LogFile:	_mop3ok_zz_paint_06_02__049.txt	1001011001011100101100111010110100110110010101	95	1555432514
0.238095	1.000000	1470650	6	25000288	0.500000 	 PFSize: 	 6 	 HypVol: 	 0.99564173 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20070844 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 5616  	LogFile:	_mop3ok_zz_paint_08_02__000.txt	1010100100101101011000010111000011101001111001111000101101011010100001	91	1555432609
