156.0000000000000000	25.0000000000000000	6414	2	22323667	0.520000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 325.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 1250.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 22323388 	 LastPfUpdateTime: 	 10087.21 	LogFile:	_nsga2_400pop_01max_25__014.txt	1100110011010110101000011	10087	1568564723
156.0000000000000000	25.0000000000000000	1201	0	25000342	0.520000 	 GenLen: 	 25 	 PFSize: 	 25 	 HypVol: 	 325.00000000 	 IGD: 	 0.07692308 	 GD: 	 0.00000000 	 MaxSpread: 	 1152.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 10411212 	 LastPfUpdateTime: 	 4504.06 	LogFile:	_nsga2_400pop_01max_25__015.txt	1111001001110010011100100	11424	1568564762
156.0000000000000000	25.0000000000000000	2003	0	25000342	0.520000 	 GenLen: 	 25 	 PFSize: 	 25 	 HypVol: 	 325.00000000 	 IGD: 	 0.07692308 	 GD: 	 0.00000000 	 MaxSpread: 	 1152.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 11337683 	 LastPfUpdateTime: 	 4933.73 	LogFile:	_nsga2_400pop_01max_25__016.txt	1101101011101010001100010	11390	1568564788
156.0000000000000000	25.0000000000000000	6013	1	25000342	0.520000 	 GenLen: 	 25 	 PFSize: 	 25 	 HypVol: 	 325.00000000 	 IGD: 	 0.07692308 	 GD: 	 0.00000000 	 MaxSpread: 	 1152.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 17944240 	 LastPfUpdateTime: 	 8019.30 	LogFile:	_nsga2_400pop_01max_25__017.txt	0011101100110101000110110	11353	1568564798
156.0000000000000000	25.0000000000000000	1201	1	25000342	0.480000 	 GenLen: 	 25 	 PFSize: 	 24 	 HypVol: 	 325.00000000 	 IGD: 	 0.15384615 	 GD: 	 0.00000000 	 MaxSpread: 	 1058.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 5983902 	 LastPfUpdateTime: 	 2445.95 	LogFile:	_nsga2_400pop_01max_25__018.txt	1010110001011010101110000	11432	1568564841
156.0000000000000000	25.0000000000000000	3206	1	25000342	0.520000 	 GenLen: 	 25 	 PFSize: 	 24 	 HypVol: 	 325.00000000 	 IGD: 	 0.15384615 	 GD: 	 0.00000000 	 MaxSpread: 	 1058.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1101316 	 LastPfUpdateTime: 	 343.07 	LogFile:	_nsga2_400pop_01max_25__019.txt	0111010100101110111000010	11484	1568564859
156.0000000000000000	25.0000000000000000	1201	0	25000342	0.480000 	 GenLen: 	 25 	 PFSize: 	 24 	 HypVol: 	 325.00000000 	 IGD: 	 0.15384615 	 GD: 	 0.00000000 	 MaxSpread: 	 1058.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 10052078 	 LastPfUpdateTime: 	 4334.48 	LogFile:	_nsga2_400pop_01max_25__020.txt	0011011111000001000001111	11267	1568564896
156.0000000000000000	25.0000000000000000	2404	0	20391649	0.480000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 325.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 1250.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 20391362 	 LastPfUpdateTime: 	 9226.44 	LogFile:	_nsga2_400pop_01max_25__021.txt	1011100100011001100001101	9226	1568564919
156.0000000000000000	25.0000000000000000	1602	1	25000342	0.480000 	 GenLen: 	 25 	 PFSize: 	 25 	 HypVol: 	 325.00000000 	 IGD: 	 0.07692308 	 GD: 	 0.00000000 	 MaxSpread: 	 1152.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 17703530 	 LastPfUpdateTime: 	 7940.01 	LogFile:	_nsga2_400pop_01max_25__022.txt	0101101011110001011000001	11367	1568564928
156.0000000000000000	25.0000000000000000	2003	1	25000342	0.480000 	 GenLen: 	 25 	 PFSize: 	 24 	 HypVol: 	 325.00000000 	 IGD: 	 0.15384615 	 GD: 	 0.00000000 	 MaxSpread: 	 1058.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1359981 	 LastPfUpdateTime: 	 477.07 	LogFile:	_nsga2_400pop_01max_25__023.txt	0101011010111001000110100	11355	1568564998
