0.0256000000000000	1.0000000000000000	21691291	4029	25000342	0.600000 	 GenLen: 	 25 	 PFSize: 	 8 	 HypVol: 	 0.73600000 	 IGD: 	 0.02769231 	 GD: 	 0.02460000 	 MaxSpread: 	 1.21760000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 18718742 	 LastPfUpdateTime: 	 3071.94 	LogFile:	_nsga2_400pop_lotz_25__014.txt	1111111101100100011100100	5088	1568528162
0.0384000000000000	1.0000000000000000	9478836	1116	25000342	0.600000 	 GenLen: 	 25 	 PFSize: 	 7 	 HypVol: 	 0.72960000 	 IGD: 	 0.01815385 	 GD: 	 0.01120000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 22710391 	 LastPfUpdateTime: 	 4345.21 	LogFile:	_nsga2_400pop_lotz_25__015.txt	1111111101111010010001000	5084	1568528167
0.0576000000000000	1.0000000000000000	6339407	743	25000342	0.560000 	 GenLen: 	 25 	 PFSize: 	 8 	 HypVol: 	 0.74400000 	 IGD: 	 0.03070769 	 GD: 	 0.03300000 	 MaxSpread: 	 1.21760000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 24647357 	 LastPfUpdateTime: 	 5005.81 	LogFile:	_nsga2_400pop_lotz_25__016.txt	1111110010011111011000000	5116	1568528172
0.0480000000000000	1.0000000000000000	4188443	490	25000342	0.400000 	 GenLen: 	 25 	 PFSize: 	 8 	 HypVol: 	 0.73280000 	 IGD: 	 0.02073846 	 GD: 	 0.02300000 	 MaxSpread: 	 1.48000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 22775430 	 LastPfUpdateTime: 	 4429.95 	LogFile:	_nsga2_400pop_lotz_25__017.txt	1111110010000001010100000	5136	1568528177
0.0560000000000000	1.0000000000000000	22400660	4338	25000342	0.400000 	 GenLen: 	 25 	 PFSize: 	 11 	 HypVol: 	 0.78880000 	 IGD: 	 0.03593846 	 GD: 	 0.04261818 	 MaxSpread: 	 1.84640000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 23920980 	 LastPfUpdateTime: 	 4828.84 	LogFile:	_nsga2_400pop_lotz_25__018.txt	1111100100010101010000000	5171	1568528182
0.0480000000000000	1.0000000000000000	10970155	1313	25000342	0.520000 	 GenLen: 	 25 	 PFSize: 	 11 	 HypVol: 	 0.79520000 	 IGD: 	 0.03760000 	 GD: 	 0.04523636 	 MaxSpread: 	 1.41120000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 24452428 	 LastPfUpdateTime: 	 5010.61 	LogFile:	_nsga2_400pop_lotz_25__019.txt	1111100111100110101000000	5184	1568528187
0.0336000000000000	1.0000000000000000	14917198	1997	25000342	0.440000 	 GenLen: 	 25 	 PFSize: 	 10 	 HypVol: 	 0.79040000 	 IGD: 	 0.03920000 	 GD: 	 0.04704000 	 MaxSpread: 	 1.21760000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 24365354 	 LastPfUpdateTime: 	 4996.19 	LogFile:	_nsga2_400pop_lotz_25__020.txt	1110110111010000110000000	5201	1568528192
0.0832000000000000	1.0000000000000000	13534550	2573	25000342	0.240000 	 GenLen: 	 25 	 PFSize: 	 11 	 HypVol: 	 0.79520000 	 IGD: 	 0.03593846 	 GD: 	 0.04843636 	 MaxSpread: 	 1.70560000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 23880476 	 LastPfUpdateTime: 	 5879.90 	LogFile:	_nsga2_400pop_lotz_25__021.txt	1111000010010000000000000	6236	1568528815
0.0448000000000000	1.0000000000000000	16065662	4827	25000342	0.320000 	 GenLen: 	 25 	 PFSize: 	 9 	 HypVol: 	 0.76480000 	 IGD: 	 0.03569231 	 GD: 	 0.03377778 	 MaxSpread: 	 1.29280000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 22890623 	 LastPfUpdateTime: 	 6955.68 	LogFile:	_nsga2_400pop_lotz_25__022.txt	1111000101010000010000000	7614	1568529748
0.0480000000000000	1.0000000000000000	22709430	6913	25000342	0.440000 	 GenLen: 	 25 	 PFSize: 	 10 	 HypVol: 	 0.79200000 	 IGD: 	 0.03384615 	 GD: 	 0.04672000 	 MaxSpread: 	 1.55200000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 23438753 	 LastPfUpdateTime: 	 7141.67 	LogFile:	_nsga2_400pop_lotz_25__023.txt	1110111101101010000000000	7632	1568529753
0.0336000000000000	1.0000000000000000	17056132	5152	25000342	0.400000 	 GenLen: 	 25 	 PFSize: 	 8 	 HypVol: 	 0.74080000 	 IGD: 	 0.03507692 	 GD: 	 0.04400000 	 MaxSpread: 	 1.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 19941080 	 LastPfUpdateTime: 	 6050.48 	LogFile:	_nsga2_400pop_lotz_25__024.txt	1110101110100001010000000	7628	1568529758
0.0320000000000000	1.0000000000000000	4492401	1203	25000342	0.360000 	 GenLen: 	 25 	 PFSize: 	 10 	 HypVol: 	 0.76640000 	 IGD: 	 0.02947692 	 GD: 	 0.03504000 	 MaxSpread: 	 1.48000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 23803258 	 LastPfUpdateTime: 	 7295.48 	LogFile:	_nsga2_400pop_lotz_25__025.txt	1111010001100000001100000	7671	1568529763
0.0560000000000000	1.0000000000000000	9204953	2727	25000342	0.480000 	 GenLen: 	 25 	 PFSize: 	 5 	 HypVol: 	 0.71840000 	 IGD: 	 0.01723077 	 GD: 	 0.00704000 	 MaxSpread: 	 1.84640000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 24545018 	 LastPfUpdateTime: 	 7569.78 	LogFile:	_nsga2_400pop_lotz_25__026.txt	1111101101001101010000000	7711	1568529768
0.0384000000000000	1.0000000000000000	22745520	7013	25000342	0.280000 	 GenLen: 	 25 	 PFSize: 	 9 	 HypVol: 	 0.77440000 	 IGD: 	 0.02978462 	 GD: 	 0.03964444 	 MaxSpread: 	 1.55200000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 22336478 	 LastPfUpdateTime: 	 6884.86 	LogFile:	_nsga2_400pop_lotz_25__027.txt	1111000000001000101000000	7719	1568529774
