6907130.0000000000000000	1.0000000000000000	1201	0	25000342	0.480000 	 GenLen: 	 100 	 PFSize: 	 5 	 HypVol: 	 18477788.00000000 	 IGD: 	 660695.92500000 	 GD: 	 684980.20000000 	 MaxSpread: 	 393250.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1171 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_100_012.txt	0010001111110100111010001001111000101110010101100110001100000001110010101101011100011100011010100100	15217	1568661912
8216782.0000000000000000	1.0000000000000000	1201	0	25000342	0.520000 	 GenLen: 	 100 	 PFSize: 	 5 	 HypVol: 	 18183420.00000000 	 IGD: 	 667659.50000000 	 GD: 	 679311.80000000 	 MaxSpread: 	 457749.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 907 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_100_013.txt	0111010000011100111110011111110101100101110001100110101110010101101000111100000011110101000000110100	15331	1568661917
8284770.0000000000000000	1.0000000000000000	1602	0	25000342	0.540000 	 GenLen: 	 100 	 PFSize: 	 5 	 HypVol: 	 18337295.00000000 	 IGD: 	 631546.42500000 	 GD: 	 609103.00000000 	 MaxSpread: 	 230177.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1157 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_100_014.txt	1010110000010011111000001111011001100011011010100011100101111011001111100110110111100011111000100001	15226	1568661922
8125502.0000000000000000	1.0000000000000000	1201	0	25000342	0.530000 	 GenLen: 	 100 	 PFSize: 	 4 	 HypVol: 	 18629540.00000000 	 IGD: 	 702869.50000000 	 GD: 	 631963.50000000 	 MaxSpread: 	 280130.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 928 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_100_015.txt	0000111001100101111000111010100111000111001010011011001100001011111111101001111000000011100111100101	15315	1568661927
8077749.0000000000000000	1.0000000000000000	1201	0	25000342	0.520000 	 GenLen: 	 100 	 PFSize: 	 3 	 HypVol: 	 18663309.00000000 	 IGD: 	 655783.35833333 	 GD: 	 699556.00000000 	 MaxSpread: 	 124661.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 758 	 LastPfUpdateTime: 	 0.00 	LogFile:	_mop3ok_knap_100_016.txt	0101101110001010001101001101100001000100100110010011101110010011110101001111101000101111010011101101	15378	1568661932
7139592.0000000000000000	1.0000000000000000	1602	0	25000342	0.520000 	 GenLen: 	 100 	 PFSize: 	 2 	 HypVol: 	 18665955.00000000 	 IGD: 	 517489.70000000 	 GD: 	 500847.00000000 	 MaxSpread: 	 88218.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 466 	 LastPfUpdateTime: 	 0.00 	LogFile:	_mop3ok_knap_100_017.txt	1011111101001110100111100101101111011100001011001100000011010100011000000110000101111011111110000010	15677	1568661937
7488880.0000000000000000	1.0000000000000000	2003	0	25000342	0.500000 	 GenLen: 	 100 	 PFSize: 	 4 	 HypVol: 	 18926099.00000000 	 IGD: 	 647231.97500000 	 GD: 	 662308.25000000 	 MaxSpread: 	 128050.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 869 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_100_018.txt	1010001100110011001100110010001011100001000100110010111110111110110000011100011001011111001100011010	15355	1568661942
5921125.0000000000000000	1.0000000000000000	1201	0	25000342	0.470000 	 GenLen: 	 100 	 PFSize: 	 5 	 HypVol: 	 18600710.00000000 	 IGD: 	 617514.11666667 	 GD: 	 546049.60000000 	 MaxSpread: 	 174785.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 978 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_100_019.txt	0001011100111001100111001110100111110000001011100110101000001011010000100011010100100010001111101100	15385	1568661947
7359469.0000000000000000	1.0000000000000000	2003	0	25000342	0.500000 	 GenLen: 	 100 	 PFSize: 	 3 	 HypVol: 	 18407143.00000000 	 IGD: 	 590636.96666667 	 GD: 	 514542.66666667 	 MaxSpread: 	 248986.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1054 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_100_020.txt	1110000100010001010010101100100000001001101110101011101111110110000100001100111110010001100011111111	15376	1568661952
7806096.0000000000000000	1.0000000000000000	1201	0	25000342	0.510000 	 GenLen: 	 100 	 PFSize: 	 5 	 HypVol: 	 18627479.00000000 	 IGD: 	 691451.90000000 	 GD: 	 639574.60000000 	 MaxSpread: 	 240245.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 994 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_100_021.txt	1100110101001010100101100011011001110010010011011010010100110111000111000100101111010011100001110101	15575	1568661957
10989104.0000000000000000	1.0000000000000000	1201	0	25000342	0.600000 	 GenLen: 	 100 	 PFSize: 	 2 	 HypVol: 	 18937228.00000000 	 IGD: 	 615006.05000000 	 GD: 	 741659.50000000 	 MaxSpread: 	 211961.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1018 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_100_022.txt	1001111010110000010101010100111001010101010111101110101110101011011110110100110111111010110011111001	15394	1568661962
