52787700.0000000000000000	1.0000000000000000	1201	0	25000342	0.524000 	 GenLen: 	 250 	 PFSize: 	 7 	 HypVol: 	 122176302.00000000 	 IGD: 	 6001296.72261484 	 GD: 	 5447942.85714286 	 MaxSpread: 	 1209266.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1369 	 LastPfUpdateTime: 	 0.02 	LogFile:	_mop3ok_knap_250_011.txt	1111101010010011100000010111110101111100010011110011101101110000110101011000110001011010010101001101000110111011111110010001101110000010111011110111101101110100001110000101001000010010100101111011001010010101000011001110000100100110110001011110001111	8864	1568968792
44247588.0000000000000000	1.0000000000000000	1201	0	25000342	0.496000 	 GenLen: 	 250 	 PFSize: 	 3 	 HypVol: 	 121306402.00000000 	 IGD: 	 4755979.77208481 	 GD: 	 4575937.33333333 	 MaxSpread: 	 574762.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 457 	 LastPfUpdateTime: 	 0.00 	LogFile:	_mop3ok_knap_250_012.txt	0110010001101110001100100010011110010111110101001111111000011001011001110111110010011000110101100010110101010111001000101111110100111111001001001000000100010001010101000000110100011110010000001110001110111001000001010000111001100010110111100011111110	8815	1568968797
44938290.0000000000000000	1.0000000000000000	1201	0	25000342	0.492000 	 GenLen: 	 250 	 PFSize: 	 4 	 HypVol: 	 123257635.00000000 	 IGD: 	 5500163.04240283 	 GD: 	 5323232.25000000 	 MaxSpread: 	 145696.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 740 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_250_013.txt	0001110100000001101010101100101010111000101101010100010011110000110000011011100011001011111111000001010110010000010000001011001011101100011111010001101100110100101000101111110010111001101001100010000100111111010111111110111111100001000011000001101010	8817	1568968802
47651409.0000000000000000	1.0000000000000000	1201	0	25000342	0.508000 	 GenLen: 	 250 	 PFSize: 	 2 	 HypVol: 	 123583468.00000000 	 IGD: 	 5112220.07420495 	 GD: 	 5390623.00000000 	 MaxSpread: 	 1077493.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 955 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_250_014.txt	1000011111111100000010011011000110000111001011101000110010001001011001101100100010001001001111100010101101010100100111010101110001010001100110111110010101010001101000011100110010010001011100001101011100111110101111110110010010111101011110010100011011	8855	1568968807
45199415.0000000000000000	1.0000000000000000	2003	1	25000342	0.548000 	 GenLen: 	 250 	 PFSize: 	 7 	 HypVol: 	 122892865.00000000 	 IGD: 	 5948354.40636042 	 GD: 	 5535063.14285714 	 MaxSpread: 	 1196564.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1054 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_250_015.txt	0001001011110110010111110101001100110101000101100111100110011000011100111011000001001100110011010101111011111011100101110111100100001011111101011000100010111111100111000100011110000110010110101001110111101000011011111010111001111101100000110010001110	8875	1568968812
47046420.0000000000000000	1.0000000000000000	1201	1	25000342	0.492000 	 GenLen: 	 250 	 PFSize: 	 4 	 HypVol: 	 125156445.00000000 	 IGD: 	 6129385.09893993 	 GD: 	 5852640.75000000 	 MaxSpread: 	 86634.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1162 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_250_016.txt	0000010011000110101000100000011001001011110000101011001110000011010111100011011100011101100101001110001111111101001010001110010110111000000110000010110110010010001010100110010001111010111001111001010001110000110011011011001111111001111101011001001001	8807	1568968817
47164260.0000000000000000	1.0000000000000000	1602	0	25000342	0.560000 	 GenLen: 	 250 	 PFSize: 	 4 	 HypVol: 	 121751374.00000000 	 IGD: 	 5203368.63780919 	 GD: 	 5069407.50000000 	 MaxSpread: 	 1077473.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1157 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_250_017.txt	1100010110011010111110110010100000100111000011110011011101011101011001110100111101101100001110110101011011100001100111010110001110000011011101001011010101101011111011001110010111011110010100000111111100101110011010000111101110001111000011011101110010	8881	1568968823
44833167.0000000000000000	1.0000000000000000	1201	0	25000342	0.496000 	 GenLen: 	 250 	 PFSize: 	 4 	 HypVol: 	 123318107.00000000 	 IGD: 	 5924704.61307420 	 GD: 	 5568708.50000000 	 MaxSpread: 	 553277.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1127 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_250_018.txt	1001010011001101110101000110011111101100001100110010011000011000101101001100000000010010110110111001101100101110101010000010001100101001011000100110010000101100111011100110001111110000110011101011100101001011000111101111100110101010011100100101111001	8845	1568968828
48080275.0000000000000000	1.0000000000000000	1602	0	25000342	0.536000 	 GenLen: 	 250 	 PFSize: 	 6 	 HypVol: 	 123276920.00000000 	 IGD: 	 5662004.01060071 	 GD: 	 5443175.00000000 	 MaxSpread: 	 619345.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1051 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_250_019.txt	1011001000011011010011011001101101100100101100011001111011111111101111110101110010011011000111011111011101100101101010011010010011100100110111000010011110011011010000111001000001011101001001110100001100011000010011011011111111000000011010010001010111	8873	1568968833
50717124.0000000000000000	1.0000000000000000	1201	0	25000342	0.552000 	 GenLen: 	 250 	 PFSize: 	 4 	 HypVol: 	 121846049.00000000 	 IGD: 	 4937182.58303887 	 GD: 	 5214463.25000000 	 MaxSpread: 	 301060.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 529 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_250_020.txt	0010011111011111110111111101000011100100110110110001110100110010101010010111111110000110001100110000111100100101001110011001111001100111111001010010111001101100010000011010101101011110000110111001101110001100011001001000011110110011011111011000101111	8869	1568968838
